@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type
10676954117,49.0392025,6.0459566,Grotte du Marteau,,,,cave_entrance,,
10677784651,46.1580528,5.6145287,Belvedere de la Colonne,,viewpoint,,,,
10678147699,48.8410474,2.5512910,,,viewpoint,,,,
10678643590,43.7445654,4.7905331,,,viewpoint,,,,
10678788541,48.3213188,-4.0071574,Torgenn ar Poulloù Foenn,,viewpoint,,,,
10678841984,48.8505303,6.0707492,,,viewpoint,,,,
10681659360,45.5006030,5.5345306,,,viewpoint,,,,
10681757242,48.2571315,-4.1048745,,,viewpoint,,,,
10681870820,43.4930815,3.7609830,,,viewpoint,,,,
10682891196,48.8484302,6.0696657,,,viewpoint,,,,
10683617653,45.9679981,6.9631906,entrée de galerie,,,,cave_entrance,,
10683688006,16.0244754,-61.6433577,,,viewpoint,,,,
10687958229,43.2721426,2.5597139,Belvédère,,viewpoint,,,,
10688016374,48.9551745,2.4829019,,,viewpoint,,,,
10688497403,47.0967242,-1.6389258,Port d'hiver - Passay - Lac de Grand Lieu,,viewpoint,,,,
10688512648,47.0638133,-1.7117120,Canal du Grand Port - Lac de Grand Lieu,,viewpoint,,,,
10688540147,47.0943574,-1.6404238,Port d'été - Passay - Lac de Grand Lieu,,viewpoint,,,,
10688999510,48.6277923,6.1490074,,,viewpoint,,,,
10690661165,46.7859386,-0.8460973,,,viewpoint,,,,
10690949426,43.5287240,5.7461950,,,,,cave_entrance,,
10692330840,48.8501349,6.0565890,,,viewpoint,,,,
10692739660,48.8828047,2.5624140,,,viewpoint,,,,
10692739686,48.8893257,2.5716292,Point de vue sur l'ancienne carrière du Beauzet,,viewpoint,,,,
10693347193,47.0982991,6.0237463,,,viewpoint,,,,
10693633375,45.1077585,5.8163586,,,viewpoint,,,,
10693787720,48.8898201,2.5697924,,,viewpoint,,,,
10694913148,46.7831637,-0.8356942,,,viewpoint,,,,
10695304272,47.0705511,6.0198030,,,viewpoint,,,,
10695692170,44.6400737,-0.2922615,,,viewpoint,,,,
10696612533,49.7667633,0.3708507,Fécamp Capitale des Terre-Neuvas,,viewpoint,,,,
10697624170,45.7859259,6.1929919,Panorama de l'Oratoire,,viewpoint,,,,
10697953819,46.0963962,5.4429993,belvédère de Mortaray,,viewpoint,,,,
10699694001,44.3864087,0.6899387,,,viewpoint,,,,
10700151233,45.4018678,6.0886300,Grottes de la Jeanotte,,,,cave_entrance,,
10700159816,45.4266676,6.0905131,Grotte de la Pierre St Moutaret,,,,cave_entrance,,
10700456145,50.0864569,4.8068865,,,viewpoint,,,,
10701244327,48.8155177,2.5240714,,,viewpoint,,,,
10701926493,46.5968085,3.3041440,,,,,cave_entrance,,
10705291591,42.8135410,2.7478883,,,viewpoint,,,,
10707124356,43.4933607,6.8990560,,,viewpoint,,,,
10707124382,43.4902137,6.9025306,,,viewpoint,,,,
10708956490,49.8874184,4.8464278,La roche Margot,,viewpoint,,,,
10708976994,43.2053865,5.5132443,,,viewpoint,,,,
10711830505,42.4478428,8.8615754,Point de vue panoramique,,viewpoint,,,,
10711830506,42.3461351,8.6238410,Bocca di Tirra,,viewpoint,,,,
10712060213,43.4101226,3.0581199,,,viewpoint,,,,
10712099375,47.7012210,3.9990019,Belvédère Est,,viewpoint,,,,
10714942761,43.4532685,6.9057920,,,viewpoint,,,,
10715717068,48.8355800,7.3622100,Grotte d'amour du Hunebourg,,,,cave_entrance,,
10716069516,48.7439320,-1.5694428,,,viewpoint,,,,
10716287218,43.7478040,3.5504394,Petit trou,,,,cave_entrance,,
10716287219,43.7478062,3.5503247,Trou n°3,,,,cave_entrance,,
10716337204,48.7890459,7.2496964,,,viewpoint,,,,
10718652609,44.4366948,4.0833279,,,viewpoint,,,,
10718652635,44.4260091,4.0857044,,,viewpoint,,,,
10719360595,49.4809037,0.8756943,,,viewpoint,,,,
10720733434,47.3153682,6.7711803,,,viewpoint,,,,
10720735966,47.3173958,6.8231052,,,viewpoint,,,,
10720735967,47.3187304,6.8436831,,,viewpoint,,,,
10723633031,43.5138621,3.5140848,,,viewpoint,,,,
10723872724,44.0810164,3.2958393,Grotte Sépulcrale,,,,cave_entrance,,
10723917861,44.0820790,3.2968690,Baume Batie,,,,cave_entrance,,
10723921166,43.9077282,3.3053787,Aven de Renousés,,,,cave_entrance,,
10724093833,43.8553483,3.2020010,,,,,cave_entrance,,
10724098057,43.8537670,3.2023500,Beaume du Plo,,,,cave_entrance,,
10726251241,44.2151745,6.9401359,Belvédère des Chamois,,viewpoint,,,,
10728528189,43.5118679,3.5548105,,,viewpoint,,,,
10728963175,43.8528114,7.3668524,Balma dei Pagans,,,,cave_entrance,,
10728963176,43.8958156,7.2546397,Grotte de la Serpatière,,,,cave_entrance,,
10729818777,43.1139500,0.9969100,GA306,,,,cave_entrance,,
10729842263,44.7791400,1.6738600,Igue de Gibert 2,,,,cave_entrance,,
10729842448,43.1182100,0.9963800,Bois de Cerf,,,,cave_entrance,,
10733405775,45.9668400,5.9856309,,,viewpoint,,,,
10735455917,45.8519763,5.7649349,,,viewpoint,,,,
10735573429,43.9386234,7.5182305,,,viewpoint,,,,
10735816710,43.2014110,6.6641571,,,viewpoint,,,,
10737405201,46.0266009,6.4384506,La Glacière,,,,cave_entrance,,
10737965407,49.0628531,6.0460880,Belvédère des Varieux,,viewpoint,,,,
10738297979,45.6640070,6.8968684,,,viewpoint,,,,
10739661244,46.1703841,4.3547139,,,viewpoint,,,,
10739931200,43.6288639,3.3665447,,,viewpoint,,,,
10739947757,43.6287485,3.3710427,,,viewpoint,,,,
10739984171,43.6286369,3.3694760,,,viewpoint,,,,
10739990715,43.6270554,3.3551467,,,viewpoint,,,,
10740723355,43.8470334,6.2204840,,,,,cave_entrance,,
10741066193,49.1555254,-0.3714171,Champignonnière de Fleury,,,,cave_entrance,,
10741988047,43.1628014,-1.2336083,,,viewpoint,,,,
10742198950,45.7884880,5.4400565,,,viewpoint,,,,
10742198951,45.7899755,5.4397453,,,viewpoint,,,,
10742341958,43.7431890,6.6392170,Belvédère,,viewpoint,,,,
10743069780,45.0783416,-0.6391209,,,viewpoint,,,,
10743164948,42.7951310,2.4495515,,,viewpoint,,,,
10743466206,45.0182888,5.7706196,,,viewpoint,,,,
10743466207,45.0171511,5.7700809,,,viewpoint,,,,
10743466210,44.9977551,5.7638211,,,viewpoint,,,,
10743466219,44.9725648,5.7499401,,,viewpoint,,,,
10743466227,44.9912329,5.7618054,,,viewpoint,,,,
10743471374,43.6463582,3.3858891,,,viewpoint,,,,
10743530406,43.2229010,5.3817377,Col de la Selle,,viewpoint,,,,
10743538405,43.2234481,5.3783705,Pas de la selle,,viewpoint,,,,
10744592039,45.0068930,5.7546880,,,viewpoint,,,,
10744714944,44.9700710,5.7460469,,,viewpoint,,,,
10744714945,44.9873319,5.7624800,,,viewpoint,,,,
10744714946,44.9891134,5.7622594,,,viewpoint,,,,
10744714962,44.9658948,5.7607064,,,viewpoint,,,,
10744714963,44.9650674,5.7596523,,,viewpoint,,,,
10744714984,44.9656761,5.7585847,,,viewpoint,,,,
10744718785,43.2527055,3.3063607,,,viewpoint,,,,
10744768484,43.7462704,7.4220123,Table d'Orientation du Mont des Mules,,viewpoint,,,,
10745148761,45.5864675,5.1152282,,,viewpoint,,,,
10746570456,49.0050877,7.5660801,,,viewpoint,,,,
10746786645,44.8080538,6.5661426,,,viewpoint,,,,
10747789108,49.0790697,3.9384915,,,viewpoint,,,,
10748422356,49.0786447,1.6282597,,,viewpoint,,,,
10749504064,48.9295120,2.5893515,,,,,cave_entrance,,
10749504065,48.9293446,2.5893944,,,,,cave_entrance,,
10749504066,48.9297534,2.5894427,,,,,cave_entrance,,
10749504067,48.9297728,2.5896975,,,,,cave_entrance,,
10749504068,48.9291807,2.5894963,,,,,cave_entrance,,
10749504069,48.9285322,2.5885522,,,,,cave_entrance,,
10749504070,48.9287120,2.5885897,,,,,cave_entrance,,
10749504071,48.9293728,2.5881096,,,,,cave_entrance,,
10749504072,48.9291049,2.5885280,,,,,cave_entrance,,
10749504073,48.9274396,2.5926157,,,,,cave_entrance,,
10749504074,48.9272440,2.5928249,,,,,cave_entrance,,
10749504075,48.9269180,2.5930449,,,,,cave_entrance,,
10749504076,48.9266783,2.5932434,,,,,cave_entrance,,
