@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type;
"702619,48.1408242,17.2674429,""Most pri Bratislave, Bratislavská ul."",,information,,,,";
28978951,43.5454520,-5.6611724,Museo de las Termas Romanas de Campo Valdés / Muséu de les Termes Romanes d'El Campu Valdés,,museum,,,,;
29059513,48.9103934,21.4615959,,,information,,,,;
29060258,48.4332787,17.3404413,Zabité,,information,,,,;
"29060328,48.4677545,17.4053427,""Majdan, odbočka k priehrade"",,information,,,,";
29061114,48.1884855,17.1039748,Pod Chlmcom,,information,,,,;
29061122,48.1920710,17.1059533,Pod Chlmcom,,information,,,,;
29061148,48.2086683,17.1043716,Dieliky,,information,,,,;
29061207,48.2474933,17.1387404,Pod Bielym krížom,,information,,,,;
29062212,48.2883239,17.1259403,,,information,,,,;
29062231,48.3034581,17.1346053,Prepadlé,,information,,,,;
29062291,48.3144990,17.1957247,Kolárske,,information,,,,;
29062337,48.1711812,17.1018402,Koliba,,information,,,,;
29062357,48.1818978,17.0982859,Kamzík,,information,,,,;
29062375,48.1950328,17.0974471,Snežienka,,information,,,,;
29062381,48.1900272,17.1020913,,,information,,,,;
29062512,48.2671613,17.1624845,Pod Veľkým Javorníkom,,information,,,,;
29062530,48.2740591,17.1935586,Tri Bresty,,information,,,,;
"29062596,48.1827967,17.0986268,""Kamzík, lúka"",,information,,,,";
29062611,48.2840209,17.2073977,Limbach,,information,,,,;
29062660,48.6973534,19.2143682,Horná Mičiná,,information,,,,;
29062686,48.6007646,19.6977670,Grapa kižovatka,,information,,,,;
29063116,48.6242388,20.2466534,,,information,,,,;
29063121,48.5940892,20.0957617,,,information,,,,;
29063167,48.6490825,20.2962508,sedlo Hrádok,,information,,,,;
29064172,48.3327268,17.0508510,Lozorno,,information,,,,;
29064215,48.2816509,17.1278452,Sedmička,,information,,,,;
29380827,48.5112322,18.4014679,Prostredný vrch,,information,,,,;
29380840,48.5042885,18.4206994,Skýcov,,information,,,,;
29390199,48.8758538,18.4562351,Klin,,information,,,,;
29415190,48.5855285,19.0893373,,,information,,,,;
"29416723,48.6997842,17.0405072,""Brodské, Kadlúbok"",,information,,,,";
29416879,48.6117433,17.4224814,Jablonica,,information,,,,;
29416890,48.5987862,17.4284747,Jablonica,,information,,,,;
"29416996,48.5280423,17.4603960,""Trstín, rázcestie na Bukovú"",,information,,,,";
"29417107,48.7315950,17.4059410,""Sobotište, nám."",,information,,,,";
29417217,48.7437104,17.5393066,,,information,,,,;
29417219,48.7453760,17.5341990,Turá lúka,,information,,,,;
"29417221,48.7488911,17.5260895,""Myjava, Turá Lúka"",,information,,,,";
29637473,47.7573266,18.0960425,,,information,,,,;
"29676829,48.5404231,17.5665253,""Dechtice, Horné pole"",,information,,,,";
29676871,48.5363225,17.5074359,Prekážka,,information,,,,;
"29677603,48.4228939,17.4050314,""Dlhá, Matildin dvor"",,information,,,,";
29775781,49.2902063,20.4278056,Magurské sedlo,,information,,,,;
29775948,48.8092342,19.0532495,Dolný Harmanec,,information,,,,;
29776058,48.8387304,18.9986136,Sedlo Malý Šturec,,information,,,,;
29799108,43.4843881,-5.7536797,Villa romana de Veranes,archaeological_site,,,,,;
29846335,48.0817527,18.2485054,Dolný Ohaj,,information,,,,;
30019935,43.4388027,-5.1925241,Mirador d'El Fitu,,viewpoint,,,,;
30756068,39.7049398,3.4333739,,,viewpoint,,,,;
"30857483,47.7590021,18.0861579,""Komárno, Železničný most"",,information,,,,";
30932789,49.1410152,20.2203596,Starý Smokovec (pozemná lanovka),,information,,,,;
30933359,49.1206852,20.0630437,,,information,,,,;
31092662,49.0926899,19.7910165,,,information,,,,;
31092707,49.0375949,19.7254539,,,information,,,,;
31153641,48.7516575,19.6431912,,,information,,,,;
"31159419,48.9028221,19.7241107,""Špitálik, odbočka z hradskej"",,information,,,,";
31159809,48.9973651,19.7626455,,,information,,,,;
31248513,48.7726975,18.5779640,,,information,,,,;
31249796,48.7450341,18.5793923,Koš,,information,,,,;
31250978,48.8787370,18.7245054,Jasenovo,,information,,,,;
"31274415,49.1376840,20.4256654,""Kežmarok, Billa"",,information,,,,";
31372160,49.3758526,21.6935794,Nižný Komárnik,,information,,,,;
31373146,48.4388362,20.3354459,Starňa,,information,,,,;
31398601,49.2009667,21.5946531,Hradisko,,information,,,,;
"31560541,48.3328135,17.3004321,""Modra, Podhorská ulica"",,information,,,,";
"31562241,48.8962938,18.0444528,""Trenčín, hotel Elizabeth"",,information,,,,";
31806937,38.2542194,-2.6584134,el yelmo,,viewpoint,,,,;
31904613,48.7476737,18.6247725,Záhradky,,information,,,,;
31904667,48.7442757,18.6380116,Púšť,,information,,,,;
31907029,48.3503933,18.0590625,Dražovce,,information,,,,;
31907221,48.6245173,18.4563359,Oslany (Sitinie),,information,,,,;
31907244,48.6264705,18.3027764,,,information,,,,;
31928211,49.3072471,19.4855955,Podbiel,,information,,,,;
31930002,49.2552193,19.3407350,Penzión Racibor,,information,,,,;
"31930263,49.1762671,19.1336064,""Dolina Bystrička, ústie"",,information,,,,";
31962793,42.6913605,-1.1842457,Foz de Arbaiun,,viewpoint,,,,;
32001398,48.5693141,17.6237107,Chtelnica,,information,,,,;
